BIL,RENTAL HOUSE ADDRESS,PERIOD OF RENTAL CONTRACT,MONTHLY RENTAL PRICE RATE,DEPOSIT VALUE,TYPE OF HOUSE/ ROOM,PICTURES OF HOUSES/ ROOM,REMARK,"RENTAL STATUS
(VACANT/RENTED)"
32,"KLGW Small Room with Shared Bathroom
[MALE OR FEMALE]

KL Gateway Residence (https://goo.gl/maps/my2kaMuPya11cyvE7)",Flexible rental Duration,RM980,"2-month refundable security rental deposit (RM1960)

NOTE: 
Rental inclusive of all utilities (except aircond) & weekly cleaning services per person.",https://drive.google.com/drive/folders/15zGARInrXYOk4Hw42_ldR7y11dANfFph?usp=sharing,,"Small Bedroom with Shared Bathroom
Room with attached bathroom and equipped with Air-conditioning & ceiling fan, wardrobe, 1 single size bed

Tenancy, Disbursement, Administration Fees, Service Fees will be informed through direct message",
33,"KLGW Master Room with attached Bathroom
[MALE OR FEMALE]

KL Gateway Residence (https://goo.gl/maps/my2kaMuPya11cyvE7)",Flexible rental Duration,"RM1,650","2-month refundable security rental deposit (RM3300)

NOTE: 
Rental inclusive of all utilities (except aircond) & weekly cleaning services per person.",https://drive.google.com/drive/folders/1ItwJuljm-_QqqhYrlkSoOrMkMKS7IFzh?usp=sharing ,,"Master Bedroom with Attached Bathroom
Room with attached bathroom and equipped with Air-conditioning & ceiling fan, wardrobe, 1 queen size bed

Tenancy, Disbursement, Administration Fees, Service Fees will be informed through direct message",
34,"KLGW Small Room with Shared Bathroom
[FEMALE ONLY]

KL Gateway Residence (https://goo.gl/maps/my2kaMuPya11cyvE7)",Flexible rental Duration,RM980,"2-month refundable security rental deposit (RM1960)

NOTE: 
Rental inclusive of all utilities (except aircond) & weekly cleaning services per person.",https://drive.google.com/drive/folders/15zGARInrXYOk4Hw42_ldR7y11dANfFph?usp=sharing,,"Small Bedroom with Shared Bathroom
Room with attached bathroom and equipped with Air-conditioning & ceiling fan, wardrobe, 1 single size bed

Tenancy, Disbursement, Administration Fees, Service Fees will be informed through direct message",
35,"KLGW Master Room with attached Bathroom
[FEMALE ONLY]

KL Gateway Residence (https://goo.gl/maps/my2kaMuPya11cyvE7)",Flexible rental Duration,"RM1,600","2-month refundable security rental deposit (RM3200)

NOTE: 
Rental inclusive of all utilities (except aircond) & weekly cleaning services per person.",https://drive.google.com/drive/folders/1ItwJuljm-_QqqhYrlkSoOrMkMKS7IFzh?usp=sharing ,,"Master Bedroom with Attached Bathroom
Room with attached bathroom and equipped with Air-conditioning & ceiling fan, wardrobe, 1 queen size bed

Tenancy, Disbursement, Administration Fees, Service Fees will be informed through direct message",
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
